,Broader,N,PUBMEDID,AUTHOR,DiseaseOrTrait,STAGE,DATE,STUDY ACCESSION,parentterm,color
14362,Hispanic/Latin American,908.0,23897914.0,Wang H,Bronchopulmonary dysplasia,initial,2013-07-29,GCST002104,Other disease,#807dba
14363,Other/Mixed,167.0,23897914.0,Wang H,Bronchopulmonary dysplasia,initial,2013-07-29,GCST002104,Other disease,#99d594
14364,Other/Mixed,36.0,23897914.0,Wang H,Bronchopulmonary dysplasia,initial,2013-07-29,GCST002104,Other disease,#99d594
14365,Other/Mixed,795.0,23897914.0,Wang H,Bronchopulmonary dysplasia,replication,2013-07-29,GCST002104,Other disease,#99d594
14366,European,390.0,23897914.0,Wang H,Bronchopulmonary dysplasia,initial,2013-07-29,GCST002104,Other disease,#3288bd
14367,European,6685.0,23894154.0,Kohler A,Thyroid cancer,replication,2013-07-26,GCST002102,Cancer,#3288bd
14368,European,1187.0,23894154.0,Kohler A,Thyroid cancer,initial,2013-07-26,GCST002102,Cancer,#3288bd
14369,European,13581.0,23935489.0,McLaren PJ,HIV-1 susceptibility,initial,2013-07-25,GCST002101,Other disease,#3288bd
14370,European,5446.0,23886662.0,Weidinger S,Atopic dermatitis,replication,2013-07-25,GCST002100,Immune system disorder,#3288bd
14371,European,5617.0,23886662.0,Weidinger S,Atopic dermatitis,initial,2013-07-25,GCST002100,Immune system disorder,#3288bd
14372,Asian,379.0,23875689.0,Hong SN,Colorectal cancer,replication,2013-07-22,GCST002099,Cancer,#d53e4f
14373,Asian,105.0,23875689.0,Hong SN,Colorectal cancer,initial,2013-07-22,GCST002099,Cancer,#d53e4f
14374,European,1400.0,23872634.0,Bezzina CR,Brugada syndrome,replication,2013-07-21,GCST002098,Cardiovascular disease,#3288bd
14375,European,1427.0,23872634.0,Bezzina CR,Brugada syndrome,initial,2013-07-21,GCST002098,Cardiovascular disease,#3288bd
14376,Asian,1224.0,23872634.0,Bezzina CR,Brugada syndrome,replication,2013-07-21,GCST002098,Cardiovascular disease,#d53e4f
14377,European,9992.0,23870195.0,Wojczynski MK,Coronary artery calcification,replication,2013-07-19,GCST002097,Other trait,#3288bd
14378,African Am./Caribbean,5823.0,23870195.0,Wojczynski MK,Coronary artery calcification,initial,2013-07-19,GCST002097,Other trait,#fee08b
14380,European,4835.0,23871474.0,Psychosis Endophenotypes International Consortium,Psychosis,initial,2013-07-17,GCST002096,Neurological disorder,#3288bd
14381,European,1610.0,23857890.0,Power RA,Major depressive disorder,initial,2013-07-15,GCST002095,Neurological disorder,#3288bd
14382,Asian,1265.0,23850713.0,Yang SK,Crohn's disease,initial,2013-07-14,GCST002094,Digestive system disorder,#d53e4f
14383,Asian,3488.0,23850713.0,Yang SK,Crohn's disease,replication,2013-07-14,GCST002094,Digestive system disorder,#d53e4f
14384,European,8824.0,23853074.0,Meder B,Idiopathic dilated cardiomyopathy,replication,2013-07-12,GCST002093,Cardiovascular disease,#3288bd
14385,European,3029.0,23853074.0,Meder B,Idiopathic dilated cardiomyopathy,initial,2013-07-12,GCST002093,Cardiovascular disease,#3288bd
14386,European,2930.0,23874384.0,Viding E,Callous-unemotional behaviour,initial,2013-07-09,GCST002092,Biological process,#3288bd
14389,Other/Mixed,664.0,23838604.0,Pare G,Angioedema in response to angiotensin-converting enzyme inhibitor,initial,2013-07-08,GCST002091,Response to drug,#99d594
14390,Other/Mixed,76.0,23838604.0,Pare G,Angioedema in response to angiotensin-converting enzyme inhibitor,replication,2013-07-08,GCST002091,Response to drug,#99d594
14391,Other/Mixed,664.0,23838604.0,Pare G,Angioedema in response to angiotensin-converting enzyme inhibitor,initial,2013-07-08,GCST002091,Cardiovascular disease,#99d594
14392,Other/Mixed,76.0,23838604.0,Pare G,Angioedema in response to angiotensin-converting enzyme inhibitor,replication,2013-07-08,GCST002091,Cardiovascular disease,#99d594
14393,European,4866.0,23836780.0,Blue Mountains Eye Study (BMES),Intraocular pressure,replication,2013-07-07,GCST002089,Other measurement,#3288bd
14394,European,2175.0,23836780.0,Blue Mountains Eye Study (BMES),Intraocular pressure,initial,2013-07-07,GCST002089,Other measurement,#3288bd
14395,European,1287.0,23829686.0,Ding L,Asthma (childhood onset),initial,2013-07-05,GCST002088,Other disease,#3288bd
14396,African Am./Caribbean,156.0,23829686.0,Ding L,Asthma (childhood onset),replication,2013-07-05,GCST002088,Other disease,#fee08b
14397,Hispanic/Latin American,138.0,23829686.0,Ding L,Asthma (childhood onset),replication,2013-07-05,GCST002088,Other disease,#807dba
14398,European,44147.0,23824729.0,van Meurs JB,Homocysteine levels,initial,2013-07-03,GCST002087,Cardiovascular measurement,#3288bd
14399,European,659.0,23830517.0,Saruhan-Direskeneli G,Takayasu arteritis,initial,2013-07-03,GCST006863,Cardiovascular disease,#3288bd
14400,Other/Mixed,788.0,23830517.0,Saruhan-Direskeneli G,Takayasu arteritis,initial,2013-07-03,GCST006863,Cardiovascular disease,#99d594
14401,Asian,2275.0,23844046.0,Dorajoo R,C-reactive protein,initial,2013-07-02,GCST002086,Inflammatory measurement,#d53e4f
14402,Asian,2238.0,23844046.0,Dorajoo R,C-reactive protein,initial,2013-07-02,GCST002086,Inflammatory measurement,#d53e4f
14403,Asian,2179.0,23844046.0,Dorajoo R,C-reactive protein,initial,2013-07-02,GCST002086,Inflammatory measurement,#d53e4f
14404,European,759.0,23827383.0,Cadby G,Malignant mesothelioma,replication,2013-07-01,GCST002085,Cancer,#3288bd
14405,European,2475.0,23827383.0,Cadby G,Malignant mesothelioma,initial,2013-07-01,GCST002085,Cancer,#3288bd
14406,European,22647.0,23749187.0,Cortes A,Ankylosing spondylitis (SNP x SNP interaction),initial,2013-07-01,GCST005530,Immune system disorder,#3288bd
14407,European,22647.0,23749187.0,Cortes A,Ankylosing spondylitis,initial,2013-07-01,GCST005529,Immune system disorder,#3288bd
14408,Asian,3117.0,23749187.0,Cortes A,Ankylosing spondylitis,initial,2013-07-01,GCST005529,Immune system disorder,#d53e4f
14409,European,53862.0,23817569.0,Hinds DA,Self-reported allergy,initial,2013-06-30,GCST002083,Immune system disorder,#3288bd
14410,European,15845.0,23817571.0,Bonnelykke K,Allergic sensitization,initial,2013-06-30,GCST002084,Other measurement,#3288bd
14411,European,16034.0,23817571.0,Bonnelykke K,Allergic sensitization,replication,2013-06-30,GCST002084,Other measurement,#3288bd
14412,Asian,4392.0,23817570.0,Shi Y,Cervical cancer,initial,2013-06-30,GCST002082,Cancer,#d53e4f
14413,Asian,11363.0,23817570.0,Shi Y,Cervical cancer,replication,2013-06-30,GCST002082,Cancer,#d53e4f
14414,European,76534.0,23793025.0,Anttila V,Migraine without aura,initial,2013-06-23,GCST002078,Cardiovascular disease,#3288bd
14415,European,19147.0,23793025.0,Anttila V,Migraine - clinic-based,initial,2013-06-23,GCST002079,Cardiovascular disease,#3288bd
14416,European,118710.0,23793025.0,Anttila V,Migraine,initial,2013-06-23,GCST002081,Cardiovascular disease,#3288bd
14417,European,79357.0,23793025.0,Anttila V,Migraine with aura,initial,2013-06-23,GCST002080,Cardiovascular disease,#3288bd
14418,European,9458.0,23805179.0,Hass J,Hippocampal volume in schizophrenia,replication,2013-06-21,GCST002076,Neurological disorder,#3288bd
14419,European,170.0,23805179.0,Hass J,Hippocampal volume in schizophrenia,initial,2013-06-21,GCST002076,Neurological disorder,#3288bd
14421,European,9458.0,23805179.0,Hass J,Hippocampal volume in schizophrenia,replication,2013-06-21,GCST002076,Other measurement,#3288bd
14422,European,170.0,23805179.0,Hass J,Hippocampal volume in schizophrenia,initial,2013-06-21,GCST002076,Other measurement,#3288bd
14424,European,798.0,23793441.0,Davis MF,Parkinson's disease,initial,2013-06-21,GCST002077,Neurological disorder,#3288bd
14425,European,130.0,23823136.0,Larsen MH,Lipopolysaccharide induced cytokine levels,initial,2013-06-18,GCST002075,Other measurement,#3288bd
14426,European,586.0,23823136.0,Larsen MH,Lipopolysaccharide induced cytokine levels,replication,2013-06-18,GCST002075,Other measurement,#3288bd
14427,European,143.0,23776197.0,Leandro-Garcia LJ,Paclitaxel-induced neuropathy,initial,2013-06-17,GCST002074,Other measurement,#3288bd
14428,European,143.0,23776197.0,Leandro-Garcia LJ,Paclitaxel-induced neuropathy,initial,2013-06-17,GCST002074,Response to drug,#3288bd
14429,European,8027.0,23770605.0,Berndt SI,Chronic lymphocytic leukemia,replication,2013-06-16,GCST002073,Cancer,#3288bd
14430,European,8400.0,23770605.0,Berndt SI,Chronic lymphocytic leukemia,initial,2013-06-16,GCST002073,Cancer,#3288bd
14431,European,1884.0,23785401.0,Leone MA,Multiple sclerosis (OCB status),replication,2013-06-13,GCST002072,Immune system disorder,#3288bd
14432,European,562.0,23785401.0,Leone MA,Multiple sclerosis (OCB status),initial,2013-06-13,GCST002072,Immune system disorder,#3288bd
14433,European,3939.0,23776548.0,Sim X,Retinal arteriolar caliber,replication,2013-06-12,GCST002071,Other measurement,#3288bd
14434,European,18722.0,23776548.0,Sim X,Retinal arteriolar caliber,initial,2013-06-12,GCST002071,Other measurement,#3288bd
14435,European,5294.0,23752247.0,Loukola A,Smoking behavior,replication,2013-06-11,GCST002070,Biological process,#3288bd
14436,European,1114.0,23752247.0,Loukola A,Smoking behavior,initial,2013-06-11,GCST002070,Biological process,#3288bd
14437,Asian,2909.0,23760081.0,Kim YJ,Chronic hepatitis B infection,replication,2013-06-10,GCST002068,Digestive system disorder,#d53e4f
14438,Asian,1400.0,23760081.0,Kim YJ,Chronic hepatitis B infection,initial,2013-06-10,GCST002068,Digestive system disorder,#d53e4f
14439,European,10198.0,23740937.0,Martin JE,Systemic lupus erythematosus and Systemic sclerosis,replication,2013-06-10,GCST002069,Neurological disorder,#3288bd
14440,European,10911.0,23740937.0,Martin JE,Systemic lupus erythematosus and Systemic sclerosis,initial,2013-06-10,GCST002069,Neurological disorder,#3288bd
14441,European,10198.0,23740937.0,Martin JE,Systemic lupus erythematosus and Systemic sclerosis,replication,2013-06-10,GCST002069,Immune system disorder,#3288bd
14442,European,10911.0,23740937.0,Martin JE,Systemic lupus erythematosus and Systemic sclerosis,initial,2013-06-10,GCST002069,Immune system disorder,#3288bd
14443,European,841.0,23753411.0,Turner ST,Response to diuretic therapy in hypertension,replication,2013-06-10,GCST002067,Response to drug,#3288bd
14444,European,424.0,23753411.0,Turner ST,Response to diuretic therapy in hypertension,initial,2013-06-10,GCST002067,Response to drug,#3288bd
14445,Asian,6667.0,23749188.0,Tan DE,B cell non-Hodgkin lymphoma,replication,2013-06-09,GCST002066,Cancer,#d53e4f
14446,Asian,1691.0,23749188.0,Tan DE,B cell non-Hodgkin lymphoma,initial,2013-06-09,GCST002066,Cancer,#d53e4f
14447,European,4915.0,23743675.0,Kapoor M,Alcohol consumption,initial,2013-06-07,GCST002065,Biological process,#3288bd
14448,European,137052.0,23754948.0,Randall JC,Sexual dimorphism in anthropometric traits,replication,2013-06-06,GCST002063,Other measurement,#3288bd
14449,European,133723.0,23754948.0,Randall JC,Sexual dimorphism in anthropometric traits,initial,2013-06-06,GCST002063,Other measurement,#3288bd
14450,European,137052.0,23754948.0,Randall JC,Sexual dimorphism in anthropometric traits,replication,2013-06-06,GCST002063,Other trait,#3288bd
14451,European,133723.0,23754948.0,Randall JC,Sexual dimorphism in anthropometric traits,initial,2013-06-06,GCST002063,Other trait,#3288bd
14452,European,2784.0,23761726.0,Yazar S,Corneal astigmatism,initial,2013-06-06,GCST002064,Other trait,#3288bd
14453,African Am./Caribbean,533.0,23755828.0,Perera MA,Warfarin maintenance dose,initial,2013-06-05,GCST002061,Response to drug,#fee08b
14454,African Am./Caribbean,432.0,23755828.0,Perera MA,Warfarin maintenance dose,replication,2013-06-05,GCST002061,Response to drug,#fee08b
14455,European,6649.0,23738518.0,Luciano M,Non-word repetition,initial,2013-06-05,GCST002059,Biological process,#3288bd
14456,European,6649.0,23738518.0,Luciano M,Reading and spelling,initial,2013-06-05,GCST002062,Biological process,#3288bd
14457,European,6649.0,23738518.0,Luciano M,Word reading,initial,2013-06-05,GCST002060,Biological process,#3288bd
14458,European,1024.0,23725790.0,Renteria ME,DNA methylation (parent-of-origin),initial,2013-06-03,GCST002057,Biological process,#3288bd
14459,European,384.0,23725790.0,Renteria ME,DNA methylation (variation),replication,2013-06-03,GCST002058,Biological process,#3288bd
14460,European,256.0,23725790.0,Renteria ME,DNA methylation (variation),initial,2013-06-03,GCST002058,Biological process,#3288bd
14461,European,797.0,23727862.0,Savage SA,Osteosarcoma,replication,2013-06-02,GCST002056,Cancer,#3288bd
14462,European,3397.0,23727862.0,Savage SA,Osteosarcoma,initial,2013-06-02,GCST002056,Cancer,#3288bd
14464,Asian,489.0,23732972.0,Hashimoto R,Cognitive decline,initial,2013-06-01,GCST002055,Other trait,#d53e4f
14465,European,143849.0,23603763.0,Liu JZ,"Primary sclerosing cholangitis associated immune-mediated diseases (Crohn's disease, celiac disease, psoriasis, rheumatoid arthritis, sarcoidosis, type 1 diabetes or ulcerative colitis) (pleiotropy)",initial,2013-06-01,GCST005563,Immune system disorder,#3288bd
14466,European,143849.0,23603763.0,Liu JZ,"Primary sclerosing cholangitis associated immune-mediated diseases (Crohn's disease, celiac disease, psoriasis, rheumatoid arthritis, sarcoidosis, type 1 diabetes or ulcerative colitis) (pleiotropy)",initial,2013-06-01,GCST005563,Metabolic disorder,#3288bd
14467,European,143849.0,23603763.0,Liu JZ,"Primary sclerosing cholangitis associated immune-mediated diseases (Crohn's disease, celiac disease, psoriasis, rheumatoid arthritis, sarcoidosis, type 1 diabetes or ulcerative colitis) (pleiotropy)",initial,2013-06-01,GCST005563,Immune system disorder,#3288bd
14468,European,143849.0,23603763.0,Liu JZ,"Primary sclerosing cholangitis associated immune-mediated diseases (Crohn's disease, celiac disease, psoriasis, rheumatoid arthritis, sarcoidosis, type 1 diabetes or ulcerative colitis) (pleiotropy)",initial,2013-06-01,GCST005563,Other disease,#3288bd
14469,European,143849.0,23603763.0,Liu JZ,"Primary sclerosing cholangitis associated immune-mediated diseases (Crohn's disease, celiac disease, psoriasis, rheumatoid arthritis, sarcoidosis, type 1 diabetes or ulcerative colitis) (pleiotropy)",initial,2013-06-01,GCST005563,Immune system disorder,#3288bd
14470,European,143849.0,23603763.0,Liu JZ,"Primary sclerosing cholangitis associated immune-mediated diseases (Crohn's disease, celiac disease, psoriasis, rheumatoid arthritis, sarcoidosis, type 1 diabetes or ulcerative colitis) (pleiotropy)",initial,2013-06-01,GCST005563,Immune system disorder,#3288bd
14471,European,143849.0,23603763.0,Liu JZ,"Primary sclerosing cholangitis associated immune-mediated diseases (Crohn's disease, celiac disease, psoriasis, rheumatoid arthritis, sarcoidosis, type 1 diabetes or ulcerative colitis) (pleiotropy)",initial,2013-06-01,GCST005563,Digestive system disorder,#3288bd
14472,European,143849.0,23603763.0,Liu JZ,"Primary sclerosing cholangitis associated immune-mediated diseases (Crohn's disease, celiac disease, psoriasis, rheumatoid arthritis, sarcoidosis, type 1 diabetes or ulcerative colitis) (pleiotropy)",initial,2013-06-01,GCST005563,Digestive system disorder,#3288bd
14473,European,28868.0,23603763.0,Liu JZ,Primary sclerosing cholangitis,initial,2013-06-01,GCST006670,Digestive system disorder,#3288bd
14474,Asian,2003.0,23728934.0,Yang L,Attention deficit hyperactivity disorder,initial,2013-05-31,GCST002048,Neurological disorder,#d53e4f
14475,European,2280.0,23728906.0,Byrne EM,Sleep latency,initial,2013-05-31,GCST002051,Other measurement,#3288bd
14476,European,2001.0,23728906.0,Byrne EM,Sleep latency,replication,2013-05-31,GCST002051,Other measurement,#3288bd
14477,European,2267.0,23728906.0,Byrne EM,Insomnia,initial,2013-05-31,GCST002052,Other measurement,#3288bd
14478,European,2278.0,23728906.0,Byrne EM,Sleep duration,initial,2013-05-31,GCST002053,Other measurement,#3288bd
14479,European,2314.0,23728906.0,Byrne EM,Sleep depth,initial,2013-05-31,GCST002054,Other measurement,#3288bd
14480,European,2315.0,23728906.0,Byrne EM,Sleep quality,initial,2013-05-31,GCST002049,Other measurement,#3288bd
14481,European,2322.0,23728906.0,Byrne EM,Sleep time,initial,2013-05-31,GCST002050,Other measurement,#3288bd
14482,European,25490.0,23722424.0,Rietveld CA,Educational attainment,replication,2013-05-30,GCST002045,Other measurement,#3288bd
14483,European,101069.0,23722424.0,Rietveld CA,Educational attainment,initial,2013-05-30,GCST002045,Other measurement,#3288bd
14484,European,126559.0,23722424.0,Rietveld CA,Educational attainment,initial,2013-05-30,GCST002047,Other measurement,#3288bd
14486,European,585.0,23726668.0,Hunter AM,Response to antidepressant treatment (citalopram),replication,2013-05-30,GCST002046,Response to drug,#3288bd
14487,Other/Mixed,39.0,23726668.0,Hunter AM,Response to antidepressant treatment (citalopram),initial,2013-05-30,GCST002046,Response to drug,#99d594
14488,Asian,16.0,23726668.0,Hunter AM,Response to antidepressant treatment (citalopram),initial,2013-05-30,GCST002046,Response to drug,#d53e4f
14489,Hispanic/Latin American,126.0,23726668.0,Hunter AM,Response to antidepressant treatment (citalopram),initial,2013-05-30,GCST002046,Response to drug,#807dba
14490,European,774.0,23726668.0,Hunter AM,Response to antidepressant treatment (citalopram),initial,2013-05-30,GCST002046,Response to drug,#3288bd
14491,African Am./Caribbean,145.0,23726668.0,Hunter AM,Response to antidepressant treatment (citalopram),initial,2013-05-30,GCST002046,Response to drug,#fee08b
14492,European,5477.0,23720494.0,Evans DM,Blood trace element (Se levels),initial,2013-05-29,GCST002039,Other measurement,#3288bd
14493,African Am./Caribbean,7138.0,23726366.0,Coram MA,HDL cholesterol,replication,2013-05-29,GCST002043,Lipid or lipoprotein measurement,#fee08b
14494,African Am./Caribbean,7917.0,23726366.0,Coram MA,HDL cholesterol,initial,2013-05-29,GCST002043,Lipid or lipoprotein measurement,#fee08b
14495,Hispanic/Latin American,3506.0,23726366.0,Coram MA,HDL cholesterol,initial,2013-05-29,GCST002043,Lipid or lipoprotein measurement,#807dba
14496,African Am./Caribbean,7601.0,23726366.0,Coram MA,Triglycerides,initial,2013-05-29,GCST002044,Lipid or lipoprotein measurement,#fee08b
14497,Hispanic/Latin American,3335.0,23726366.0,Coram MA,Triglycerides,initial,2013-05-29,GCST002044,Lipid or lipoprotein measurement,#807dba
14498,African Am./Caribbean,7138.0,23726366.0,Coram MA,Triglycerides,replication,2013-05-29,GCST002044,Lipid or lipoprotein measurement,#fee08b
14499,European,2603.0,23720494.0,Evans DM,Blood trace element (Zn levels),initial,2013-05-29,GCST002040,Other measurement,#3288bd
14500,European,2603.0,23720494.0,Evans DM,Blood trace element (Cu levels),initial,2013-05-29,GCST002041,Other measurement,#3288bd
14501,African Am./Caribbean,7138.0,23726366.0,Coram MA,LDL cholesterol,replication,2013-05-29,GCST002042,Other measurement,#fee08b
14502,Hispanic/Latin American,3425.0,23726366.0,Coram MA,LDL cholesterol,initial,2013-05-29,GCST002042,Other measurement,#807dba
14503,African Am./Caribbean,7861.0,23726366.0,Coram MA,LDL cholesterol,initial,2013-05-29,GCST002042,Other measurement,#fee08b
14504,European,1578.0,23726511.0,Xie P,Post-traumatic stress disorder,replication,2013-05-28,GCST002038,Neurological disorder,#3288bd
14505,African Am./Caribbean,744.0,23726511.0,Xie P,Post-traumatic stress disorder,replication,2013-05-28,GCST002038,Neurological disorder,#fee08b
14506,African Am./Caribbean,3380.0,23726511.0,Xie P,Post-traumatic stress disorder,initial,2013-05-28,GCST002038,Neurological disorder,#fee08b
14507,European,1838.0,23726511.0,Xie P,Post-traumatic stress disorder,initial,2013-05-28,GCST002038,Neurological disorder,#3288bd
14508,African Am./Caribbean,3392.0,23726511.0,Xie P,Post-traumatic stress disorder (asjusted for relatedness),initial,2013-05-28,GCST002037,Neurological disorder,#fee08b
14509,European,1846.0,23726511.0,Xie P,Post-traumatic stress disorder (asjusted for relatedness),initial,2013-05-28,GCST002037,Neurological disorder,#3288bd
14510,Asian,2191.0,23708190.0,Hu Z,Congenital heart malformation,initial,2013-05-26,GCST002036,Cardiovascular disease,#d53e4f
14511,Asian,6026.0,23708190.0,Hu Z,Congenital heart malformation,replication,2013-05-26,GCST002036,Cardiovascular disease,#d53e4f
14512,Other/Mixed,778.0,23719583.0,Kerns SL,Adverse response to radiation therapy,replication,2013-05-26,GCST002034,Biological process,#99d594
14513,Other/Mixed,320.0,23719583.0,Kerns SL,Adverse response to radiation therapy,initial,2013-05-26,GCST002034,Biological process,#99d594
14514,European,6978.0,23708191.0,Cordell HJ,Congenital heart disease,initial,2013-05-26,GCST002035,Cardiovascular disease,#3288bd
14515,European,3146.0,23708191.0,Cordell HJ,Congenital heart disease,replication,2013-05-26,GCST002035,Cardiovascular disease,#3288bd
14516,European,11513.0,23704328.0,Fatemifar G,Primary tooth development (number of teeth),initial,2013-05-23,GCST002031,Biological process,#3288bd
14517,African,12316.0,23717212.0,Band G,Malaria,initial,2013-05-23,GCST002033,Digestive system disorder,#fc8d59
14518,Asian,520.0,23746317.0,Yamaguchi T,Temporomandibular joint disorder,initial,2013-05-23,GCST002029,Other disease,#d53e4f
14519,European,620.0,23704207.0,Wu X,Non-small cell lung cancer (survival),initial,2013-05-23,GCST002032,Other measurement,#3288bd
14520,Asian,1256.0,23704207.0,Wu X,Non-small cell lung cancer (survival),replication,2013-05-23,GCST002032,Other measurement,#d53e4f
14521,European,620.0,23704207.0,Wu X,Non-small cell lung cancer (survival),initial,2013-05-23,GCST002032,Cancer,#3288bd
14522,Asian,1256.0,23704207.0,Wu X,Non-small cell lung cancer (survival),replication,2013-05-23,GCST002032,Cancer,#d53e4f
14523,European,11118.0,23704328.0,Fatemifar G,Primary tooth development (time to first tooth eruption),initial,2013-05-23,GCST002030,Biological process,#3288bd
14524,European,621.0,23698163.0,Gong J,Serum selenium levels,replication,2013-05-21,GCST002028,Other measurement,#3288bd
14525,European,1203.0,23698163.0,Gong J,Serum selenium levels,initial,2013-05-21,GCST002028,Other measurement,#3288bd
14526,African Am./Caribbean,411.0,23696099.0,Ding K,Red blood cell traits,replication,2013-05-20,GCST002027,Hematological measurement,#fee08b
14527,African Am./Caribbean,1904.0,23696099.0,Ding K,Red blood cell traits,initial,2013-05-20,GCST002027,Hematological measurement,#fee08b
14528,Asian,223.0,23677057.0,Kim JJ,Coronary arterial lesions in patients with Kawasaki disease,replication,2013-05-16,GCST002026,Immune system disorder,#d53e4f
14529,Asian,140.0,23677057.0,Kim JJ,Coronary arterial lesions in patients with Kawasaki disease,initial,2013-05-16,GCST002026,Immune system disorder,#d53e4f
14530,Asian,223.0,23677057.0,Kim JJ,Coronary arterial lesions in patients with Kawasaki disease,replication,2013-05-16,GCST002026,Cardiovascular disease,#d53e4f
14531,Asian,140.0,23677057.0,Kim JJ,Coronary arterial lesions in patients with Kawasaki disease,initial,2013-05-16,GCST002026,Cardiovascular disease,#d53e4f
14532,Other/Mixed,438.0,23668334.0,Shan J,Prostate cancer,replication,2013-05-13,GCST002024,Cancer,#99d594
14533,Other/Mixed,221.0,23668334.0,Shan J,Prostate cancer,initial,2013-05-13,GCST002024,Cancer,#99d594
14538,European,11146.0,23666240.0,Ruark E,Testicular germ cell tumor,replication,2013-05-12,GCST002022,Cancer,#3288bd
14539,European,5932.0,23666240.0,Ruark E,Testicular germ cell tumor,initial,2013-05-12,GCST002022,Cancer,#3288bd
14540,European,1638.0,23666239.0,Chung CC,Testicular germ cell tumor,initial,2013-05-12,GCST002023,Cancer,#3288bd
14541,European,12070.0,23666239.0,Chung CC,Testicular germ cell tumor,replication,2013-05-12,GCST002023,Cancer,#3288bd
14542,European,13627.0,23669352.0,Graff M,Body mass index,initial,2013-05-12,GCST002021,Body measurement,#3288bd
14543,European,16253.0,23669352.0,Graff M,Body mass index,replication,2013-05-12,GCST002021,Body measurement,#3288bd
14544,Asian,2506.0,23666238.0,Kou I,Scoliosis,initial,2013-05-12,GCST002020,Other disease,#d53e4f
14545,Asian,27204.0,23666238.0,Kou I,Scoliosis,replication,2013-05-12,GCST002020,Other disease,#d53e4f
14546,European,1184.0,23666238.0,Kou I,Scoliosis,replication,2013-05-12,GCST002020,Other disease,#3288bd
14547,Asian,1999.0,23661040.0,Liao M,IgE levels,initial,2013-05-10,GCST002019,Other measurement,#d53e4f
14548,Asian,1496.0,23661040.0,Liao M,IgE levels,replication,2013-05-10,GCST002019,Other measurement,#d53e4f
14549,European,983.0,23665963.0,Dubinsky MC,Crohn's disease (time to surgery),initial,2013-05-09,GCST002018,Digestive system disorder,#3288bd
14550,European,614.0,23665963.0,Dubinsky MC,Crohn's disease (need for surgery),initial,2013-05-09,GCST002017,Digestive system disorder,#3288bd
14552,European,1287.0,23658558.0,Bae HT,Personality dimensions,replication,2013-05-08,GCST002015,Other trait,#3288bd
14553,European,2631.0,23658558.0,Bae HT,Personality dimensions,initial,2013-05-08,GCST002015,Other trait,#3288bd
14555,European,4595.0,23658558.0,Bae HT,Personality dimensions,initial,2013-05-08,GCST002016,Other trait,#3288bd
14556,European,10485.0,23652523.0,Mayerle J,Helicobacter pylori serologic status,initial,2013-05-08,GCST002014,Other measurement,#3288bd
14557,Asian,15495.0,23667675.0,Tanikawa C,Menarche (age at onset),initial,2013-05-07,GCST002013,Other measurement,#d53e4f
14558,Asian,1331.0,23644492.0,Wu C,Esophageal squamous cell cancer (length of survival),initial,2013-05-05,GCST002010,Other measurement,#d53e4f
14559,Asian,1962.0,23644492.0,Wu C,Esophageal squamous cell cancer (length of survival),replication,2013-05-05,GCST002010,Other measurement,#d53e4f
14560,Asian,1331.0,23644492.0,Wu C,Esophageal squamous cell cancer (length of survival),initial,2013-05-05,GCST002010,Cancer,#d53e4f
14561,Asian,1962.0,23644492.0,Wu C,Esophageal squamous cell cancer (length of survival),replication,2013-05-05,GCST002010,Cancer,#d53e4f
14562,Asian,1331.0,23644492.0,Wu C,Esophageal squamous cell cancer (length of survival),initial,2013-05-05,GCST002010,Cancer,#d53e4f
14563,Asian,1962.0,23644492.0,Wu C,Esophageal squamous cell cancer (length of survival),replication,2013-05-05,GCST002010,Cancer,#d53e4f
14564,European,73965.0,23644456.0,Styrkarsdottir U,Bone mineral density,initial,2013-05-05,GCST002011,Other measurement,#3288bd
14565,European,44499.0,23650146.0,Tang W,Venous thromboembolism,initial,2013-05-05,GCST002012,Cardiovascular disease,#3288bd
14566,European,6767.0,23650146.0,Tang W,Venous thromboembolism,replication,2013-05-05,GCST002012,Cardiovascular disease,#3288bd
14567,Asian,503.0,23648065.0,Low SK,Adverse response to chemotherapy (neutropenia/leucopenia) (cyclophosphamide),initial,2013-05-04,GCST002002,Response to drug,#d53e4f
14568,Asian,503.0,23648065.0,Low SK,Adverse response to chemotherapy (neutropenia/leucopenia) (cyclophosphamide),initial,2013-05-04,GCST002002,Response to drug,#d53e4f
14569,Asian,306.0,23648065.0,Low SK,Adverse response to chemotherapy (neutropenia/leucopenia) (gemcitabine),initial,2013-05-04,GCST002003,Response to drug,#d53e4f
14570,Asian,306.0,23648065.0,Low SK,Adverse response to chemotherapy (neutropenia/leucopenia) (gemcitabine),initial,2013-05-04,GCST002003,Response to drug,#d53e4f
14571,Asian,1171.0,23648065.0,Low SK,Adverse response to chemotherapy (neutropenia/leucopenia) (all platinum-based drugs),initial,2013-05-04,GCST001998,Response to drug,#d53e4f
14572,Asian,1171.0,23648065.0,Low SK,Adverse response to chemotherapy (neutropenia/leucopenia) (all platinum-based drugs),initial,2013-05-04,GCST001998,Response to drug,#d53e4f
14573,Asian,1129.0,23648065.0,Low SK,Adverse response to chemotherapy (neutropenia/leucopenia) (5-fluorouracil),initial,2013-05-04,GCST001997,Response to drug,#d53e4f
14574,Asian,1129.0,23648065.0,Low SK,Adverse response to chemotherapy (neutropenia/leucopenia) (5-fluorouracil),initial,2013-05-04,GCST001997,Response to drug,#d53e4f
