,Broader,N,PUBMEDID,AUTHOR,DiseaseOrTrait,STAGE,DATE,ACCESSION,parentterm,color
14763,Hispanic/Latin American,4708.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004501,Biological process,#807dba
14764,Asian,1793.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004501,Biological process,#3288bd
14765,African Am./Caribbean,3181.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction),replication,2017-04-26,GCST004501,Biological process,#fee08b
14766,European,164513.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction),replication,2017-04-26,GCST004501,Body measurement,#d53e4f
14767,European,167121.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004501,Body measurement,#d53e4f
14768,African Am./Caribbean,13206.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004501,Body measurement,#fee08b
14769,Asian,8678.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004501,Body measurement,#3288bd
14770,Hispanic/Latin American,4708.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004501,Body measurement,#807dba
14771,Asian,1793.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004501,Body measurement,#3288bd
14772,African Am./Caribbean,3181.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction),replication,2017-04-26,GCST004501,Body measurement,#fee08b
14773,European,164513.0,28443625.0,Justice AE,Body mass index (joint analysis main effects and smoking interaction),replication,2017-04-26,GCST004497,Biological process,#d53e4f
14774,European,168375.0,28443625.0,Justice AE,Body mass index (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004497,Biological process,#d53e4f
14775,African Am./Caribbean,13206.0,28443625.0,Justice AE,Body mass index (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004497,Biological process,#fee08b
14776,Asian,8678.0,28443625.0,Justice AE,Body mass index (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004497,Biological process,#3288bd
14777,Hispanic/Latin American,4708.0,28443625.0,Justice AE,Body mass index (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004497,Biological process,#807dba
14778,Asian,1793.0,28443625.0,Justice AE,Body mass index (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004497,Biological process,#3288bd
14779,African Am./Caribbean,3181.0,28443625.0,Justice AE,Body mass index (joint analysis main effects and smoking interaction),replication,2017-04-26,GCST004497,Biological process,#fee08b
14780,European,164513.0,28443625.0,Justice AE,Body mass index (joint analysis main effects and smoking interaction),replication,2017-04-26,GCST004497,Body measurement,#d53e4f
14781,European,168375.0,28443625.0,Justice AE,Body mass index (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004497,Body measurement,#d53e4f
14782,African Am./Caribbean,13206.0,28443625.0,Justice AE,Body mass index (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004497,Body measurement,#fee08b
14783,Asian,8678.0,28443625.0,Justice AE,Body mass index (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004497,Body measurement,#3288bd
14784,Hispanic/Latin American,4708.0,28443625.0,Justice AE,Body mass index (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004497,Body measurement,#807dba
14785,Asian,1793.0,28443625.0,Justice AE,Body mass index (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004497,Body measurement,#3288bd
14786,African Am./Caribbean,3181.0,28443625.0,Justice AE,Body mass index (joint analysis main effects and smoking interaction),replication,2017-04-26,GCST004497,Body measurement,#fee08b
14787,Asian,1793.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (smoking interaction),initial,2017-04-26,GCST004502,Biological process,#3288bd
14788,African Am./Caribbean,3181.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (smoking interaction),replication,2017-04-26,GCST004502,Biological process,#fee08b
14789,European,164513.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (smoking interaction),replication,2017-04-26,GCST004502,Biological process,#d53e4f
14790,European,167121.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (smoking interaction),initial,2017-04-26,GCST004502,Biological process,#d53e4f
14791,African Am./Caribbean,13206.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (smoking interaction),initial,2017-04-26,GCST004502,Biological process,#fee08b
14792,Hispanic/Latin American,4708.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (smoking interaction),initial,2017-04-26,GCST004502,Biological process,#807dba
14793,Asian,8678.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (smoking interaction),initial,2017-04-26,GCST004502,Biological process,#3288bd
14794,Asian,1793.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (smoking interaction),initial,2017-04-26,GCST004502,Body measurement,#3288bd
14795,African Am./Caribbean,3181.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (smoking interaction),replication,2017-04-26,GCST004502,Body measurement,#fee08b
14796,European,164513.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (smoking interaction),replication,2017-04-26,GCST004502,Body measurement,#d53e4f
14797,European,167121.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (smoking interaction),initial,2017-04-26,GCST004502,Body measurement,#d53e4f
14798,African Am./Caribbean,13206.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (smoking interaction),initial,2017-04-26,GCST004502,Body measurement,#fee08b
14799,Hispanic/Latin American,4708.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (smoking interaction),initial,2017-04-26,GCST004502,Body measurement,#807dba
14800,Asian,8678.0,28443625.0,Justice AE,Waist circumference adjusted for BMI (smoking interaction),initial,2017-04-26,GCST004502,Body measurement,#3288bd
14801,African Am./Caribbean,13206.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour),initial,2017-04-26,GCST004505,Biological process,#fee08b
14802,Asian,8678.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour),initial,2017-04-26,GCST004505,Biological process,#3288bd
14803,Hispanic/Latin American,4708.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour),initial,2017-04-26,GCST004505,Biological process,#807dba
14804,Asian,1793.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour),initial,2017-04-26,GCST004505,Biological process,#3288bd
14805,European,163276.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour),initial,2017-04-26,GCST004505,Biological process,#d53e4f
14806,European,164513.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour),replication,2017-04-26,GCST004505,Biological process,#d53e4f
14807,African Am./Caribbean,3181.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour),replication,2017-04-26,GCST004505,Biological process,#fee08b
14808,African Am./Caribbean,13206.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour),initial,2017-04-26,GCST004505,Body measurement,#fee08b
14809,Asian,8678.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour),initial,2017-04-26,GCST004505,Body measurement,#3288bd
14810,Hispanic/Latin American,4708.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour),initial,2017-04-26,GCST004505,Body measurement,#807dba
14811,Asian,1793.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour),initial,2017-04-26,GCST004505,Body measurement,#3288bd
14812,European,163276.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour),initial,2017-04-26,GCST004505,Body measurement,#d53e4f
14813,European,164513.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour),replication,2017-04-26,GCST004505,Body measurement,#d53e4f
14814,African Am./Caribbean,3181.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour),replication,2017-04-26,GCST004505,Body measurement,#fee08b
14815,African Am./Caribbean,2720.0,28443625.0,Justice AE,Waist circumference adjusted for BMI in non-smokers,replication,2017-04-26,GCST004504,Body measurement,#fee08b
14816,European,139141.0,28443625.0,Justice AE,Waist circumference adjusted for BMI in non-smokers,replication,2017-04-26,GCST004504,Body measurement,#d53e4f
14817,European,129288.0,28443625.0,Justice AE,Waist circumference adjusted for BMI in non-smokers,initial,2017-04-26,GCST004504,Body measurement,#d53e4f
14818,African Am./Caribbean,10602.0,28443625.0,Justice AE,Waist circumference adjusted for BMI in non-smokers,initial,2017-04-26,GCST004504,Body measurement,#fee08b
14819,Asian,7711.0,28443625.0,Justice AE,Waist circumference adjusted for BMI in non-smokers,initial,2017-04-26,GCST004504,Body measurement,#3288bd
14820,Hispanic/Latin American,3787.0,28443625.0,Justice AE,Waist circumference adjusted for BMI in non-smokers,initial,2017-04-26,GCST004504,Body measurement,#807dba
14821,Asian,1526.0,28443625.0,Justice AE,Waist circumference adjusted for BMI in non-smokers,initial,2017-04-26,GCST004504,Body measurement,#3288bd
14822,African Am./Caribbean,2720.0,28443625.0,Justice AE,BMI in non-smokers,replication,2017-04-26,GCST004499,Body measurement,#fee08b
14823,European,139141.0,28443625.0,Justice AE,BMI in non-smokers,replication,2017-04-26,GCST004499,Body measurement,#d53e4f
14824,European,129415.0,28443625.0,Justice AE,BMI in non-smokers,initial,2017-04-26,GCST004499,Body measurement,#d53e4f
14825,African Am./Caribbean,10602.0,28443625.0,Justice AE,BMI in non-smokers,initial,2017-04-26,GCST004499,Body measurement,#fee08b
14826,Asian,7711.0,28443625.0,Justice AE,BMI in non-smokers,initial,2017-04-26,GCST004499,Body measurement,#3288bd
14827,Asian,1526.0,28443625.0,Justice AE,BMI in non-smokers,initial,2017-04-26,GCST004499,Body measurement,#3288bd
14828,Hispanic/Latin American,3787.0,28443625.0,Justice AE,BMI in non-smokers,initial,2017-04-26,GCST004499,Body measurement,#807dba
14829,Hispanic/Latin American,921.0,28443625.0,Justice AE,Waist circumference adjusted for BMI in smokers,initial,2017-04-26,GCST004503,Biological process,#807dba
14830,Asian,267.0,28443625.0,Justice AE,Waist circumference adjusted for BMI in smokers,initial,2017-04-26,GCST004503,Biological process,#3288bd
14831,Asian,967.0,28443625.0,Justice AE,Waist circumference adjusted for BMI in smokers,initial,2017-04-26,GCST004503,Biological process,#3288bd
14832,African Am./Caribbean,2604.0,28443625.0,Justice AE,Waist circumference adjusted for BMI in smokers,initial,2017-04-26,GCST004503,Biological process,#fee08b
14833,European,25372.0,28443625.0,Justice AE,Waist circumference adjusted for BMI in smokers,replication,2017-04-26,GCST004503,Biological process,#d53e4f
14834,European,36657.0,28443625.0,Justice AE,Waist circumference adjusted for BMI in smokers,initial,2017-04-26,GCST004503,Biological process,#d53e4f
14835,African Am./Caribbean,461.0,28443625.0,Justice AE,Waist circumference adjusted for BMI in smokers,replication,2017-04-26,GCST004503,Biological process,#fee08b
14836,Hispanic/Latin American,921.0,28443625.0,Justice AE,Waist circumference adjusted for BMI in smokers,initial,2017-04-26,GCST004503,Body measurement,#807dba
14837,Asian,267.0,28443625.0,Justice AE,Waist circumference adjusted for BMI in smokers,initial,2017-04-26,GCST004503,Body measurement,#3288bd
14838,Asian,967.0,28443625.0,Justice AE,Waist circumference adjusted for BMI in smokers,initial,2017-04-26,GCST004503,Body measurement,#3288bd
14839,African Am./Caribbean,2604.0,28443625.0,Justice AE,Waist circumference adjusted for BMI in smokers,initial,2017-04-26,GCST004503,Body measurement,#fee08b
14840,European,25372.0,28443625.0,Justice AE,Waist circumference adjusted for BMI in smokers,replication,2017-04-26,GCST004503,Body measurement,#d53e4f
14841,European,36657.0,28443625.0,Justice AE,Waist circumference adjusted for BMI in smokers,initial,2017-04-26,GCST004503,Body measurement,#d53e4f
14842,African Am./Caribbean,461.0,28443625.0,Justice AE,Waist circumference adjusted for BMI in smokers,replication,2017-04-26,GCST004503,Body measurement,#fee08b
14843,Asian,967.0,28443625.0,Justice AE,BMI in smokers,initial,2017-04-26,GCST004498,Biological process,#3288bd
14844,Asian,267.0,28443625.0,Justice AE,BMI in smokers,initial,2017-04-26,GCST004498,Biological process,#3288bd
14845,African Am./Caribbean,461.0,28443625.0,Justice AE,BMI in smokers,replication,2017-04-26,GCST004498,Biological process,#fee08b
14846,European,25372.0,28443625.0,Justice AE,BMI in smokers,replication,2017-04-26,GCST004498,Biological process,#d53e4f
14847,European,37784.0,28443625.0,Justice AE,BMI in smokers,initial,2017-04-26,GCST004498,Biological process,#d53e4f
14848,African Am./Caribbean,2604.0,28443625.0,Justice AE,BMI in smokers,initial,2017-04-26,GCST004498,Biological process,#fee08b
14849,Hispanic/Latin American,921.0,28443625.0,Justice AE,BMI in smokers,initial,2017-04-26,GCST004498,Biological process,#807dba
14850,Asian,967.0,28443625.0,Justice AE,BMI in smokers,initial,2017-04-26,GCST004498,Body measurement,#3288bd
14851,Asian,267.0,28443625.0,Justice AE,BMI in smokers,initial,2017-04-26,GCST004498,Body measurement,#3288bd
14852,African Am./Caribbean,461.0,28443625.0,Justice AE,BMI in smokers,replication,2017-04-26,GCST004498,Body measurement,#fee08b
14853,European,25372.0,28443625.0,Justice AE,BMI in smokers,replication,2017-04-26,GCST004498,Body measurement,#d53e4f
14854,European,37784.0,28443625.0,Justice AE,BMI in smokers,initial,2017-04-26,GCST004498,Body measurement,#d53e4f
14855,African Am./Caribbean,2604.0,28443625.0,Justice AE,BMI in smokers,initial,2017-04-26,GCST004498,Body measurement,#fee08b
14856,Hispanic/Latin American,921.0,28443625.0,Justice AE,BMI in smokers,initial,2017-04-26,GCST004498,Body measurement,#807dba
14857,European,126046.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI in non-smokers,initial,2017-04-26,GCST004508,Body measurement,#d53e4f
14858,African Am./Caribbean,10602.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI in non-smokers,initial,2017-04-26,GCST004508,Body measurement,#fee08b
14859,Asian,7711.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI in non-smokers,initial,2017-04-26,GCST004508,Body measurement,#3288bd
14860,Hispanic/Latin American,3787.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI in non-smokers,initial,2017-04-26,GCST004508,Body measurement,#807dba
14861,Asian,1526.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI in non-smokers,initial,2017-04-26,GCST004508,Body measurement,#3288bd
14862,European,139141.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI in non-smokers,replication,2017-04-26,GCST004508,Body measurement,#d53e4f
14863,African Am./Caribbean,2720.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI in non-smokers,replication,2017-04-26,GCST004508,Body measurement,#fee08b
14864,African Am./Caribbean,3181.0,28443625.0,Justice AE,BMI (adjusted for smoking behaviour),replication,2017-04-26,GCST004495,Biological process,#fee08b
14865,European,164513.0,28443625.0,Justice AE,BMI (adjusted for smoking behaviour),replication,2017-04-26,GCST004495,Biological process,#d53e4f
14866,African Am./Caribbean,13206.0,28443625.0,Justice AE,BMI (adjusted for smoking behaviour),initial,2017-04-26,GCST004495,Biological process,#fee08b
14867,European,168375.0,28443625.0,Justice AE,BMI (adjusted for smoking behaviour),initial,2017-04-26,GCST004495,Biological process,#d53e4f
14868,Asian,1793.0,28443625.0,Justice AE,BMI (adjusted for smoking behaviour),initial,2017-04-26,GCST004495,Biological process,#3288bd
14869,Hispanic/Latin American,4708.0,28443625.0,Justice AE,BMI (adjusted for smoking behaviour),initial,2017-04-26,GCST004495,Biological process,#807dba
14870,Asian,8678.0,28443625.0,Justice AE,BMI (adjusted for smoking behaviour),initial,2017-04-26,GCST004495,Biological process,#3288bd
14871,African Am./Caribbean,3181.0,28443625.0,Justice AE,BMI (adjusted for smoking behaviour),replication,2017-04-26,GCST004495,Body measurement,#fee08b
14872,European,164513.0,28443625.0,Justice AE,BMI (adjusted for smoking behaviour),replication,2017-04-26,GCST004495,Body measurement,#d53e4f
14873,African Am./Caribbean,13206.0,28443625.0,Justice AE,BMI (adjusted for smoking behaviour),initial,2017-04-26,GCST004495,Body measurement,#fee08b
14874,European,168375.0,28443625.0,Justice AE,BMI (adjusted for smoking behaviour),initial,2017-04-26,GCST004495,Body measurement,#d53e4f
14875,Asian,1793.0,28443625.0,Justice AE,BMI (adjusted for smoking behaviour),initial,2017-04-26,GCST004495,Body measurement,#3288bd
14876,Hispanic/Latin American,4708.0,28443625.0,Justice AE,BMI (adjusted for smoking behaviour),initial,2017-04-26,GCST004495,Body measurement,#807dba
14877,Asian,8678.0,28443625.0,Justice AE,BMI (adjusted for smoking behaviour),initial,2017-04-26,GCST004495,Body measurement,#3288bd
14878,Asian,1793.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004507,Biological process,#3288bd
14879,Asian,8678.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004507,Biological process,#3288bd
14880,African Am./Caribbean,10602.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004507,Biological process,#fee08b
14881,European,163276.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004507,Biological process,#d53e4f
14882,European,164513.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction),replication,2017-04-26,GCST004507,Biological process,#d53e4f
14883,African Am./Caribbean,3181.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction),replication,2017-04-26,GCST004507,Biological process,#fee08b
14884,Hispanic/Latin American,4708.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004507,Biological process,#807dba
14885,Asian,1793.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004507,Body measurement,#3288bd
14886,Asian,8678.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004507,Body measurement,#3288bd
14887,African Am./Caribbean,10602.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004507,Body measurement,#fee08b
14888,European,163276.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004507,Body measurement,#d53e4f
14889,European,164513.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction),replication,2017-04-26,GCST004507,Body measurement,#d53e4f
14890,African Am./Caribbean,3181.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction),replication,2017-04-26,GCST004507,Body measurement,#fee08b
14891,Hispanic/Latin American,4708.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction),initial,2017-04-26,GCST004507,Body measurement,#807dba
14892,Asian,967.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI in smokers,initial,2017-04-26,GCST004509,Biological process,#3288bd
14893,Asian,267.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI in smokers,initial,2017-04-26,GCST004509,Biological process,#3288bd
14894,Hispanic/Latin American,921.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI in smokers,initial,2017-04-26,GCST004509,Biological process,#807dba
14895,African Am./Caribbean,2602.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI in smokers,initial,2017-04-26,GCST004509,Biological process,#fee08b
14896,European,36054.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI in smokers,initial,2017-04-26,GCST004509,Biological process,#d53e4f
14897,European,25372.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI in smokers,replication,2017-04-26,GCST004509,Biological process,#d53e4f
14898,African Am./Caribbean,461.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI in smokers,replication,2017-04-26,GCST004509,Biological process,#fee08b
14899,Asian,967.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI in smokers,initial,2017-04-26,GCST004509,Body measurement,#3288bd
14900,Asian,267.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI in smokers,initial,2017-04-26,GCST004509,Body measurement,#3288bd
14901,Hispanic/Latin American,921.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI in smokers,initial,2017-04-26,GCST004509,Body measurement,#807dba
14902,African Am./Caribbean,2602.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI in smokers,initial,2017-04-26,GCST004509,Body measurement,#fee08b
14903,European,36054.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI in smokers,initial,2017-04-26,GCST004509,Body measurement,#d53e4f
14904,European,25372.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI in smokers,replication,2017-04-26,GCST004509,Body measurement,#d53e4f
14905,African Am./Caribbean,461.0,28443625.0,Justice AE,Waist-to-hip ratio adjusted for BMI in smokers,replication,2017-04-26,GCST004509,Body measurement,#fee08b
14906,European,4536.0,27622933.0,Li QS,Response to bupropion in depression,initial,2016-09-13,GCST003800,Neurological disorder,#d53e4f
14907,European,4536.0,27622933.0,Li QS,Response to bupropion in depression,initial,2016-09-13,GCST003800,Response to drug,#d53e4f
14908,European,9688.0,27622933.0,Li QS,Response to selective serotonin reuptake inhibitors in depression,initial,2016-09-13,GCST003801,Response to drug,#d53e4f
14909,European,9688.0,27622933.0,Li QS,Response to selective serotonin reuptake inhibitors in depression,initial,2016-09-13,GCST003801,Neurological disorder,#d53e4f
14910,European,4698.0,27622933.0,Li QS,Response to citalopram or escitalopram in depression,initial,2016-09-13,GCST003802,Neurological disorder,#d53e4f
14911,European,4698.0,27622933.0,Li QS,Response to citalopram or escitalopram in depression,initial,2016-09-13,GCST003802,Response to drug,#d53e4f
14912,European,9106.0,27622933.0,Li QS,Response to antidepressants in depression,initial,2016-09-13,GCST003803,Neurological disorder,#d53e4f
14913,European,9106.0,27622933.0,Li QS,Response to antidepressants in depression,initial,2016-09-13,GCST003803,Response to drug,#d53e4f
14914,European,193931.0,27622933.0,Li QS,Non-response to bupropion and depression,initial,2016-09-13,GCST003804,Neurological disorder,#d53e4f
14915,European,193931.0,27622933.0,Li QS,Non-response to bupropion and depression,initial,2016-09-13,GCST003804,Response to drug,#d53e4f
14916,European,194673.0,27622933.0,Li QS,Response to bupropion and depression,initial,2016-09-13,GCST003806,Neurological disorder,#d53e4f
14917,European,194673.0,27622933.0,Li QS,Response to bupropion and depression,initial,2016-09-13,GCST003806,Response to drug,#d53e4f
14918,European,197744.0,27622933.0,Li QS,Response to selective serotonin reuptake inhibitors and depression,initial,2016-09-13,GCST003809,Response to drug,#d53e4f
14919,European,197744.0,27622933.0,Li QS,Response to selective serotonin reuptake inhibitors and depression,initial,2016-09-13,GCST003809,Neurological disorder,#d53e4f
14920,European,194088.0,27622933.0,Li QS,Non-response to citalopram or escitalopram and depression,initial,2016-09-13,GCST003810,Neurological disorder,#d53e4f
14921,European,194088.0,27622933.0,Li QS,Non-response to citalopram or escitalopram and depression,initial,2016-09-13,GCST003810,Response to drug,#d53e4f
14922,European,194909.0,27622933.0,Li QS,Response to citalopram or escitalopram and depression,initial,2016-09-13,GCST003811,Neurological disorder,#d53e4f
14923,European,194909.0,27622933.0,Li QS,Response to citalopram or escitalopram and depression,initial,2016-09-13,GCST003811,Response to drug,#d53e4f
14924,European,193489.0,27622933.0,Li QS,Non-response to antidepressants and depression,initial,2016-09-13,GCST003812,Neurological disorder,#d53e4f
14925,European,193489.0,27622933.0,Li QS,Non-response to antidepressants and depression,initial,2016-09-13,GCST003812,Response to drug,#d53e4f
14926,European,195222.0,27622933.0,Li QS,Non-response to selective serotonin reuptake inhibitors and depression,initial,2016-09-13,GCST003808,Response to drug,#d53e4f
14927,European,195222.0,27622933.0,Li QS,Non-response to selective serotonin reuptake inhibitors and depression,initial,2016-09-13,GCST003808,Neurological disorder,#d53e4f
14928,European,198990.0,27622933.0,Li QS,Response to antidepressants and depression,initial,2016-09-13,GCST003813,Neurological disorder,#d53e4f
14929,European,198990.0,27622933.0,Li QS,Response to antidepressants and depression,initial,2016-09-13,GCST003813,Response to drug,#d53e4f
14930,European,50933.0,22504420.0,Estrada K,Lumbar spine bone mineral density,replication,2012-04-15,GCST001482,Other measurement,#d53e4f
14931,Other/Mixed,32961.0,22504420.0,Estrada K,Lumbar spine bone mineral density,initial,2012-04-15,GCST001482,Other measurement,#99d594
14932,European,50933.0,22504420.0,Estrada K,Femoral neck bone mineral density,replication,2012-04-15,GCST007691,Other measurement,#d53e4f
14933,Other/Mixed,32961.0,22504420.0,Estrada K,Femoral neck bone mineral density,initial,2012-04-15,GCST007691,Other measurement,#99d594
14934,European,7152.0,24387989.0,Mayes MD,Diffuse cutaneous systemic sclerosis,replication,2014-01-02,GCST005535,Neurological disorder,#d53e4f
14935,European,4040.0,24387989.0,Mayes MD,Diffuse cutaneous systemic sclerosis,initial,2014-01-02,GCST005535,Neurological disorder,#d53e4f
14936,European,9952.0,24387989.0,Mayes MD,Systemic sclerosis,replication,2014-01-02,GCST005534,Neurological disorder,#d53e4f
14937,European,5299.0,24387989.0,Mayes MD,Systemic sclerosis,initial,2014-01-02,GCST005534,Neurological disorder,#d53e4f
14938,European,8442.0,24387989.0,Mayes MD,Limited cutaneous systemic scleroderma,replication,2014-01-02,GCST005533,Neurological disorder,#d53e4f
14939,European,4593.0,24387989.0,Mayes MD,Limited cutaneous systemic scleroderma,initial,2014-01-02,GCST005533,Neurological disorder,#d53e4f
14940,Asian,10300.0,29212154.0,Lin E,Metabolic syndrome,initial,2017-09-16,GCST005871,Body measurement,#3288bd
14941,Asian,10300.0,29212154.0,Lin E,Metabolic syndrome,initial,2017-09-16,GCST005871,Lipid or lipoprotein measurement,#3288bd
14942,Asian,10300.0,29212154.0,Lin E,Metabolic syndrome,initial,2017-09-16,GCST005871,Other measurement,#3288bd
14943,Asian,10300.0,29212154.0,Lin E,Metabolic syndrome,initial,2017-09-16,GCST005871,Metabolic disorder,#3288bd
14944,Asian,10300.0,29212154.0,Lin E,Waist circumference,initial,2017-09-16,GCST005872,Body measurement,#3288bd
14945,Asian,10300.0,29212154.0,Lin E,Triglyceride levels,initial,2017-09-16,GCST005873,Lipid or lipoprotein measurement,#3288bd
14946,Asian,10300.0,29212154.0,Lin E,HDL cholesterol,initial,2017-09-16,GCST005874,Lipid or lipoprotein measurement,#3288bd
14947,Asian,10300.0,29212154.0,Lin E,Diastolic blood pressure,initial,2017-09-16,GCST005875,Other measurement,#3288bd
14948,Asian,10300.0,29212154.0,Lin E,Systolic blood pressure,initial,2017-09-16,GCST005876,Other measurement,#3288bd
14949,Asian,10300.0,29212154.0,Lin E,Fasting blood glucose,initial,2017-09-16,GCST005877,Other measurement,#3288bd
14951,European,5208.0,27157822.0,Hallberg P,Anti-thyroid drug induced agranulocytosis,initial,2016-05-03,GCST003527,Response to drug,#d53e4f
